,Player,player_code,Squad,90s,sub_position,Based
0,James Abankwah,james-abankwah04,Udinese,0.7,Centre-Back,Serie A
1,Oliver Abildgaard,oliver-abildgaard96,Hellas Verona,6.6,Defensive Midfield,Serie A
2,Tammy Abraham,tammy-abraham97,Roma,24.3,Centre-Forward,Serie A
3,Christian Acella,christian-acella02,Cremonese,0.2,Central Midfield,Serie A
4,Francesco Acerbi,francesco-acerbi88,Inter,26.9,Centre-Back,Serie A
5,Yacine Adli,yacine-adli00,Milan,1.6,Attacking Midfield,Serie A
6,Michel Aebischer,michel-aebischer97,Bologna,17.1,Central Midfield,Serie A
7,Felix Afena-Gyan,felix-afena-gyan03,Cremonese,9.1,Centre-Forward,Serie A
8,Kevin Agudelo,kevin-agudelo98,Spezia,23.7,Attacking Midfield,Serie A
9,Ola Aina,ola-aina96,Torino,9.7,Right-Back,Serie A
10,Emanuel Aiwum,emanuel-aiwum00,Cremonese,18.4,Centre-Back,Serie A
11,Jean-Daniel Akpa-Akpro,jean-daniel-akpa-akpro92,Empoli,15.1,Central Midfield,Serie A
12,Luis Alberto,luis-alberto92,Lazio,27.1,Central Midfield,Serie A
13,Agustín Álvarez Martínez,agustin-alvarez-martinez01,Sassuolo,4.1,Centre-Forward,Serie A
14,Kelvin Amian,kelvin-amian98,Spezia,26.4,Right-Back,Serie A
15,Bruno Amione,bruno-amione02,Sampdoria,23.2,Centre-Back,Serie A
16,Ethan Ampadu,ethan-ampadu00,Spezia,29.3,Centre-Back,Serie A
17,Sofyan Amrabat,sofyan-amrabat96,Fiorentina,22.2,Defensive Midfield,Serie A
18,Felipe Anderson,felipe-anderson93,Lazio,32.9,Right Winger,Serie A
19,Marcos Antônio,marcos-antonio00,Lazio,6.6,Central Midfield,Serie A
20,Valentin Antov,valentin-antov00,Monza,3.4,Centre-Back,Serie A
21,Marko Arnautović,marko-arnautovic89,Bologna,17.0,Centre-Forward,Serie A
22,Tolgay Arslan,tolgay-arslan90,Udinese,13.5,Central Midfield,Serie A
23,Kristoffer Askildsen,kristoffer-askildsen01,Lecce,8.1,Central Midfield,Serie A
24,Kristjan Asllani,kristjan-asllani02,Inter,6.6,Defensive Midfield,Serie A
25,Tommaso Augello,tommaso-augello94,Sampdoria,34.0,Left-Back,Serie A
26,Carlos Augusto,carlos-augusto99,Monza,34.3,Left-Back,Serie A
27,Nedim Bajrami,nedim-bajrami99,Sassuolo,9.1,Attacking Midfield,Serie A
28,Tiemoué Bakayoko,tiemoue-bakayoko94,Milan,0.5,Defensive Midfield,Serie A
29,Tommaso Baldanzi,tommaso-baldanzi03,Empoli,19.7,Attacking Midfield,Serie A
30,Fodé Ballo-Touré,fode-ballo-toure97,Milan,5.8,Left-Back,Serie A
31,Lameck Banda,lameck-banda01,Lecce,18.2,Left Winger,Serie A
32,Filippo Bandinelli,filippo-bandinelli95,Empoli,25.1,Central Midfield,Serie A
33,Antonín Barák,antonin-barak94,Fiorentina,20.0,Attacking Midfield,Serie A
34,Andrea Barberis,andrea-barberis93,Monza,3.8,Defensive Midfield,Serie A
35,Nicolò Barella,nicolo-barella97,Inter,29.0,Central Midfield,Serie A
36,Enzo Barrenechea,enzo-barrenechea01,Juventus,1.8,Defensive Midfield,Serie A
37,Musa Barrow,musa-barrow98,Bologna,21.8,Left Winger,Serie A
38,Federico Baschirotto,federico-baschirotto96,Lecce,37.0,Centre-Back,Serie A
39,Toma Bašić,toma-basic96,Lazio,5.7,Central Midfield,Serie A
40,Alessandro Bastoni,alessandro-bastoni99,Inter,24.0,Centre-Back,Serie A
41,Simone Bastoni,simone-bastoni96,Spezia,13.2,Central Midfield,Serie A
42,Brian Bayeye,brian-bayeye00,Torino,0.7,Right-Back,Serie A
43,Rodrigo Becão,rodrigo-becao96,Udinese,27.6,Centre-Back,Serie A
44,Julius Beck,julius-beck05,Spezia,0.1,Central Midfield,Serie A
45,Raoul Bellanova,raoul-bellanova00,Inter,5.5,Right-Back,Serie A
46,Andrea Belotti,andrea-belotti93,Roma,12.7,Centre-Forward,Serie A
47,Marco Benassi,marco-benassi94,Cremonese,11.1,Central Midfield,Serie A
48,Ismaël Bennacer,ismael-bennacer97,Milan,22.3,Defensive Midfield,Serie A
49,Domenico Berardi,domenico-berardi94,Sassuolo,20.7,Right Winger,Serie A
50,Bartosz Bereszyński,bartosz-bereszynski92,Napoli,1.8,Right-Back,Serie A
51,Marco Bertini,marco-bertini02,Lazio,0.0,Defensive Midfield,Serie A
52,Beto,beto98,Udinese,23.7,Centre-Forward,Serie A
53,Matteo Bianchetti,matteo-bianchetti93,Cremonese,23.7,Centre-Back,Serie A
54,Alessandro Bianco,alessandro-bianco02,Fiorentina,1.7,Central Midfield,Serie A
55,Jaka Bijol,jaka-bijol99,Udinese,30.3,Centre-Back,Serie A
56,Cristiano Biraghi,cristiano-biraghi92,Fiorentina,28.3,Left-Back,Serie A
57,Samuele Birindelli,samuele-birindelli99,Monza,15.6,Right-Back,Serie A
58,Alexis Blin,alexis-blin96,Lecce,26.4,Defensive Midfield,Serie A
59,Jeremie Boga,jeremie-boga97,Atalanta,8.7,Left Winger,Serie A
60,Emil Bohinen,emil-bohinen99,Salernitana,9.2,Central Midfield,Serie A
61,Giacomo Bonaventura,giacomo-bonaventura89,Fiorentina,21.2,Central Midfield,Serie A
62,Federico Bonazzoli,federico-bonazzoli97,Salernitana,12.4,Centre-Forward,Serie A
63,Kevin Bonifazi,kevin-bonifazi96,Bologna,10.0,Centre-Back,Serie A
64,Leonardo Bonucci,leonardo-bonucci87,Juventus,9.8,Centre-Back,Serie A
65,Erik Botheim,erik-botheim00,Salernitana,9.6,Centre-Forward,Serie A
66,Mehdi Bourabia,mehdi-bourabia91,Spezia,30.8,Defensive Midfield,Serie A
67,Edoardo Bove,edoardo-bove02,Roma,11.0,,Serie A
68,Jayden Braaf,jayden-braaf02,Hellas Verona,3.2,Centre-Forward,Serie A
69,Domagoj Bradarić,domagoj-bradaric99,Salernitana,25.0,Left-Back,Serie A
70,Josip Brekalo,josip-brekalo98,Fiorentina,2.5,Left Winger,Serie A
71,Gleison Bremer,gleison-bremer97,Juventus,29.3,Centre-Back,Serie A
72,Dylan Bronn,dylan-bronn95,Salernitana,18.7,Centre-Back,Serie A
73,Marcelo Brozović,marcelo-brozovic92,Inter,19.7,Defensive Midfield,Serie A
74,Cristian Buonaiuto,cristian-buonaiuto92,Cremonese,10.9,Left Winger,Serie A
75,Alessandro Buongiorno,alessandro-buongiorno99,Torino,30.2,Centre-Back,Serie A
76,Leonardo Buta,leonardo-buta02,Udinese,0.2,Left-Back,Serie A
77,Arthur Cabral,arthur-cabral98,Fiorentina,15.9,Centre-Forward,Serie A
78,Liberato Cacace,liberato-cacace00,Empoli,6.5,Left-Back,Serie A
79,Davide Calabria,davide-calabria96,Milan,18.8,Right-Back,Serie A
80,Mattia Caldara,mattia-caldara94,Spezia,13.9,Centre-Back,Serie A
81,Luca Caldirola,luca-caldirola91,Monza,26.1,Centre-Back,Serie A
82,Hakan Çalhanoğlu,hakan-calhanoglu94,Inter,26.3,Central Midfield,Serie A
83,Mohamed Camara,mohamed-camara97,Roma,7.7,Central Midfield,Serie A
84,Nicolò Cambiaghi,nicolo-cambiaghi00,Empoli,14.3,Left Winger,Serie A
85,Andrea Cambiaso,andrea-cambiaso00,Bologna,24.1,Left-Back,Serie A
86,Matteo Cancellieri,matteo-cancellieri02,Lazio,2.8,Right Winger,Serie A
87,Antonio Candreva,antonio-candreva87,Salernitana,30.3,Right Midfield,Serie A
88,Gianluca Caprari,gianluca-caprari93,Monza,27.1,Second Striker,Serie A
89,Francesco Caputo,francesco-caputo87,Empoli,19.0,Centre-Forward,Serie A
90,Franco Carboni,franco-carboni03,Monza,0.7,Left-Back,Serie A
91,Valentin Carboni,valentin-carboni05,Inter,0.3,Attacking Midfield,Serie A
92,Nicolò Casale,nicolo-casale98,Lazio,27.1,Centre-Back,Serie A
93,Tommaso Cassandro,tommaso-cassandro00,Lecce,0.1,Right-Back,Serie A
94,Michele Castagnetti,michele-castagnetti89,Cremonese,15.7,Defensive Midfield,Serie A
95,Gaetano Castrovilli,gaetano-castrovilli97,Fiorentina,8.0,Central Midfield,Serie A
96,Danilo Cataldi,danilo-cataldi94,Lazio,21.3,Defensive Midfield,Serie A
97,Pietro Ceccaroni,pietro-ceccaroni95,Lecce,0.5,Centre-Back,Serie A
98,Federico Ceccherini,federico-ceccherini92,Hellas Verona,15.7,Centre-Back,Serie A
99,Assan Ceesay,assan-ceesay94,Lecce,20.1,Centre-Forward,Serie A
100,Emil Ceide,emil-ceide01,Sassuolo,5.7,Left Winger,Serie A
101,Zeki Çelik,zeki-celik97,Roma,16.7,Right-Back,Serie A
102,Federico Chiesa,federico-chiesa97,Juventus,9.5,Left Winger,Serie A
103,Vlad Chiricheș,vlad-chiriches89,Cremonese,10.9,Centre-Back,Serie A
104,Daniel Ciofani,daniel-ciofani85,Cremonese,11.8,Centre-Forward,Serie A
105,Tio Cipot,tio-cipot03,Spezia,1.5,Central Midfield,Serie A
106,Patrick Ciurria,patrick-ciurria95,Monza,30.6,Right Winger,Serie A
107,Lorenzo Colombo,lorenzo-colombo02,Lecce,16.8,Centre-Forward,Serie A
108,Andrea Colpani,andrea-colpani99,Monza,10.5,Central Midfield,Serie A
109,Andrea Conti,andrea-conti94,Sampdoria,0.3,Right-Back,Serie A
110,Diego Coppola,diego-coppola03,Hellas Verona,13.1,Centre-Back,Serie A
111,Joaquín Correa,joaquin-correa94,Inter,10.6,Second Striker,Serie A
112,Lassana Coulibaly,lassana-coulibaly96,Salernitana,32.1,Central Midfield,Serie A
113,Bryan Cristante,bryan-cristante95,Roma,32.6,Defensive Midfield,Serie A
114,Domen Črnigoj,domen-crnigoj95,Salernitana,3.3,Central Midfield,Serie A
115,Juan Cuadrado,juan-cuadrado88,Juventus,23.1,Right Midfield,Serie A
116,Mickaël Cuisance,mickael-cuisance99,Sampdoria,6.9,Central Midfield,Serie A
117,Marco D'Alessandro,marco-dalessandro91,Monza,3.2,Right Winger,Serie A
118,Danilo D'Ambrosio,danilo-dambrosio88,Inter,8.1,Centre-Back,Serie A
119,Luca D'Andrea,luca-dandrea04,Sassuolo,3.5,Right Winger,Serie A
120,Flavius Daniliuc,flavius-daniliuc01,Salernitana,24.4,Centre-Back,Serie A
121,Danilo,danilo91,Juventus,35.4,Right-Back,Serie A
122,Matteo Darmian,matteo-darmian89,Inter,22.5,Right-Back,Serie A
123,Juan David Cabal,juan-david-cabal01,Hellas Verona,4.9,Centre-Back,Serie A
124,Paweł Dawidowicz,pawel-dawidowicz95,Hellas Verona,18.1,Centre-Back,Serie A
125,Charles De Ketelaere,charles-de-ketelaere01,Milan,12.4,Attacking Midfield,Serie A
126,Manuel De Luca,manuel-de-luca98,Sampdoria,0.5,Centre-Forward,Serie A
127,Mattia De Sciglio,mattia-de-sciglio92,Juventus,11.6,Right-Back,Serie A
128,Lorenzo De Silvestri,lorenzo-de-silvestri88,Bologna,7.5,Right-Back,Serie A
129,Koni De Winter,koni-de-winter02,Empoli,11.4,Centre-Back,Serie A
130,Grégoire Defrel,gregoire-defrel91,Sassuolo,13.0,Centre-Forward,Serie A
131,Duccio Degl'Innocenti,duccio-deglinnocenti03,Empoli,0.0,Defensive Midfield,Serie A
132,Merih Demiral,merih-demiral98,Atalanta,17.1,Centre-Back,Serie A
133,Diego Demme,diego-demme91,Napoli,1.6,Defensive Midfield,Serie A
134,Fabio Depaoli,fabio-depaoli97,Hellas Verona,24.1,Right-Back,Serie A
135,Kastriot Dermaku,kastriot-dermaku92,Lecce,0.4,Centre-Back,Serie A
136,Cyriel Dessers,cyriel-dessers94,Cremonese,17.6,Centre-Forward,Serie A
137,Sergiño Dest,sergino-dest00,Milan,3.7,Right-Back,Serie A
138,Mattia Destro,mattia-destro91,Empoli,6.4,Centre-Forward,Serie A
139,Gerard Deulofeu,gerard-deulofeu94,Udinese,13.5,Centre-Forward,Serie A
140,Federico Di Francesco,federico-di-francesco94,Lecce,22.6,Left Winger,Serie A
141,Giovanni Di Lorenzo,giovanni-di-lorenzo93,Napoli,36.2,Right-Back,Serie A
142,Ángel Di María,angel-di-maria88,Juventus,15.1,Right Winger,Serie A
143,Boulaye Dia,boulaye-dia96,Salernitana,28.0,Centre-Forward,Serie A
144,Brahim Díaz,brahim-diaz99,Milan,21.4,Attacking Midfield,Serie A
145,Federico Dimarco,federico-dimarco97,Inter,23.0,Left-Back,Serie A
146,Koffi Djidji,koffi-djidji92,Torino,26.9,Centre-Back,Serie A
147,Berat Djimsiti,berat-djimsiti93,Atalanta,20.0,Centre-Back,Serie A
148,Dodô,dodo98,Fiorentina,25.9,Right-Back,Serie A
149,Josh Doig,josh-doig02,Hellas Verona,15.0,Left-Back,Serie A
150,Nicolás Domínguez,nicolas-dominguez98,Bologna,25.6,Central Midfield,Serie A
151,Giulio Donati,giulio-donati90,Monza,4.7,Right-Back,Serie A
152,Ondrej Duda,ondrej-duda94,Hellas Verona,11.8,Attacking Midfield,Serie A
153,Denzel Dumfries,denzel-dumfries96,Inter,24.6,Right Midfield,Serie A
154,Alfred Duncan,alfred-duncan93,Fiorentina,12.3,Central Midfield,Serie A
155,Paulo Dybala,paulo-dybala93,Roma,19.3,Second Striker,Serie A
156,Edin Džeko,edin-dzeko86,Inter,19.2,Centre-Forward,Serie A
157,Festy Ebosele,festy-ebosele02,Udinese,4.6,Right-Back,Serie A
158,Enzo Ebosse,enzo-ebosse99,Udinese,10.3,Centre-Back,Serie A
159,Tyronne Ebuehi,tyronne-ebuehi95,Empoli,21.4,Right-Back,Serie A
160,Éderson,ederson99,Atalanta,24.6,Central Midfield,Serie A
161,Kingsley Ehizibue,kingsley-ehizibue95,Udinese,17.1,Right-Back,Serie A
162,Albin Ekdal,albin-ekdal89,Spezia,19.3,Defensive Midfield,Serie A
163,Elif Elmas,elif-elmas99,Napoli,18.1,Central Midfield,Serie A
164,Martin Erlic,martin-erlic98,Sassuolo,25.9,Centre-Back,Serie A
165,Salvatore Esposito,salvatore-esposito00,Spezia,10.8,Defensive Midfield,Serie A
166,Nicolò Fagioli,nicolo-fagioli01,Juventus,16.9,Central Midfield,Serie A
167,Davide Faraoni,davide-faraoni91,Hellas Verona,16.5,Right-Back,Serie A
168,Federico Fazio,federico-fazio87,Salernitana,11.9,Centre-Back,Serie A
169,Jacopo Fazzini,jacopo-fazzini03,Empoli,9.2,Central Midfield,Serie A
170,Lewis Ferguson,lewis-ferguson99,Bologna,25.7,Central Midfield,Serie A
171,Alex Ferrari,alex-ferrari94,Cremonese,11.2,Centre-Back,Serie A
172,Salvador Ferrer,salvador-ferrer98,Spezia,1.5,Right-Back,Serie A
173,Alessandro Florenzi,alessandro-florenzi91,Milan,2.3,Right-Back,Serie A
174,Davide Frattesi,davide-frattesi99,Sassuolo,31.9,Central Midfield,Serie A
175,Matteo Gabbia,matteo-gabbia99,Milan,6.8,Centre-Back,Serie A
176,Manolo Gabbiadini,manolo-gabbiadini91,Sampdoria,26.2,Centre-Forward,Serie A
177,Gianluca Gaetano,gianluca-gaetano00,Napoli,0.8,Attacking Midfield,Serie A
178,Roberto Gagliardini,roberto-gagliardini94,Inter,8.7,Central Midfield,Serie A
179,Adolfo Gaich,adolfo-gaich99,Hellas Verona,8.1,Centre-Forward,Serie A
180,Pablo Galdames Millán,pablo-galdames-millan96,Cremonese,8.2,Defensive Midfield,Serie A
181,Antonino Gallo,antonino-gallo00,Lecce,27.6,Left-Back,Serie A
182,Federico Gatti,federico-gatti98,Juventus,16.1,Centre-Back,Serie A
183,Valentin Gendrey,valentin-gendrey00,Lecce,34.5,Right-Back,Serie A
184,Paolo Ghiglione,paolo-ghiglione97,Cremonese,7.9,Right-Back,Serie A
185,Mario Gila,mario-gila00,Lazio,1.0,Centre-Back,Serie A
186,Gvidas Gineitis,gvidas-gineitis04,Torino,1.5,Central Midfield,Serie A
187,Olivier Giroud,olivier-giroud86,Milan,23.8,Centre-Forward,Serie A
188,Joan Gonzàlez,joan-gonzalez02,Lecce,24.4,Central Midfield,Serie A
189,Nicolás González,nicolas-gonzalez98,Fiorentina,15.0,Left Winger,Serie A
190,Robin Gosens,robin-gosens94,Inter,13.2,Left Midfield,Serie A
191,Alberto Grassi,alberto-grassi95,Empoli,13.3,Central Midfield,Serie A
192,Andrew Gravillon,andrew-gravillon98,Torino,3.5,Centre-Back,Serie A
193,Axel Guessand,axel-guessand04,Udinese,0.9,Centre-Back,Serie A
194,Koray Günter,koray-gunter94,Sampdoria,8.6,Centre-Back,Serie A
195,Emmanuel Gyasi,emmanuel-gyasi94,Spezia,31.2,Left Winger,Serie A
196,Norbert Gyömbér,norbert-gyomber92,Salernitana,19.3,Centre-Back,Serie A
197,Christian Gytkjær,christian-gytkjar90,Monza,6.2,Centre-Forward,Serie A
198,Nicolas Haas,nicolas-haas96,Empoli,12.8,Central Midfield,Serie A
199,Abdou Harroui,abdou-harroui98,Sassuolo,7.2,Central Midfield,Serie A
200,Hans Hateboer,hans-hateboer94,Atalanta,15.5,Right-Back,Serie A
201,Liam Henderson,liam-henderson96,Empoli,11.2,Central Midfield,Serie A
202,Matheus Henrique,matheus-henrique97,Sassuolo,21.6,Central Midfield,Serie A
203,Thomas Henry,thomas-henry94,Hellas Verona,11.4,Centre-Forward,Serie A
204,Theo Hernández,theo-hernandez97,Milan,30.8,Left-Back,Serie A
205,Isak Hien,isak-hien99,Hellas Verona,29.0,Centre-Back,Serie A
206,Morten Hjulmand,morten-hjulmand99,Lecce,32.9,Defensive Midfield,Serie A
207,Emil Holm,emil-holm00,Spezia,15.5,Right-Back,Serie A
208,Ajdin Hrustic,ajdin-hrustic96,Hellas Verona,2.5,Attacking Midfield,Serie A
209,Elseid Hysaj,elseid-hysaj94,Lazio,22.2,Right-Back,Serie A
210,Rasmus Højlund,rasmus-hojlund03,Atalanta,20.4,Centre-Forward,Serie A
211,Roger Ibanez,roger-ibanez98,Roma,31.1,Centre-Back,Serie A
212,Zlatan Ibrahimović,zlatan-ibrahimovic81,Milan,1.6,Centre-Forward,Serie A
213,Antonio Iervolino,antonio-iervolino03,Salernitana,0.1,Central Midfield,Serie A
214,Igor,igor98,Fiorentina,22.9,Centre-Back,Serie A
215,Jonathan Ikone,jonathan-ikone98,Fiorentina,22.3,Right Winger,Serie A
216,Ivan Ilić,ivan-ilic01,Torino,13.1,Central Midfield,Serie A
217,Samuel Iling-Junior,samuel-iling-junior03,Juventus,3.5,Left Winger,Serie A
218,Emirhan İlkhan,emirhan-ilkhan04,Sampdoria,1.3,Central Midfield,Serie A
219,Ciro Immobile,ciro-immobile90,Lazio,24.7,Centre-Forward,Serie A
220,Ardian Ismajli,ardian-ismajli96,Empoli,23.3,Centre-Back,Serie A
221,Armando Izzo,armando-izzo92,Monza,27.4,Centre-Back,Serie A
222,Jesé,jese93,Sampdoria,2.3,Left Winger,Serie A
223,Juan Jesus,juan-jesus91,Napoli,10.4,Centre-Back,Serie A
224,Þórir Jóhann Helgason,borir-johann-helgason00,Lecce,2.5,Central Midfield,Serie A
225,Luka Jović,luka-jovic97,Fiorentina,17.0,Centre-Forward,Serie A
226,Yayah Kallon,yayah-kallon01,Hellas Verona,9.6,Right Winger,Serie A
227,Pierre Kalulu,pierre-kalulu00,Milan,28.3,Centre-Back,Serie A
228,Yann Karamoh,yann-karamoh98,Torino,8.0,Left Winger,Serie A
229,Rick Karsdorp,rick-karsdorp95,Roma,7.9,Right-Back,Serie A
230,Grigoris Kastanos,grigoris-kastanos98,Salernitana,14.3,Central Midfield,Serie A
231,Moise Kean,moise-kean00,Juventus,11.1,Centre-Forward,Serie A
232,Simon Kjær,simon-kjar89,Milan,11.2,Centre-Back,Serie A
233,Teun Koopmeiners,teun-koopmeiners98,Atalanta,31.8,Defensive Midfield,Serie A
234,Filip Kostić,filip-kostic92,Juventus,28.5,Left Midfield,Serie A
235,Christian Kouamé,christian-kouame97,Fiorentina,20.7,Centre-Forward,Serie A
236,Viktor Kovalenko,viktor-kovalenko96,Spezia,6.1,Attacking Midfield,Serie A
237,Raimonds Krollis,raimonds-krollis01,Spezia,0.4,Centre-Forward,Serie A
238,Rade Krunić,rade-krunic93,Milan,18.4,Central Midfield,Serie A
239,Marash Kumbulla,marash-kumbulla00,Roma,2.9,Centre-Back,Serie A
240,Khvicha Kvaratskhelia,khvicha-kvaratskhelia01,Napoli,28.0,Left Winger,Serie A
241,Giorgos Kyriakopoulos,giorgos-kyriakopoulos96,Bologna,7.8,Left-Back,Serie A
242,Sam Lammers,sam-lammers97,Sampdoria,12.2,Centre-Forward,Serie A
243,Kevin Lasagna,kevin-lasagna92,Hellas Verona,17.5,Centre-Forward,Serie A
244,Armand Lauriente,armand-lauriente98,Sassuolo,24.2,Left Winger,Serie A
245,Valentino Lazaro,valentino-lazaro96,Torino,15.3,Right-Back,Serie A
246,Darko Lazović,darko-lazovic90,Hellas Verona,24.9,Left Midfield,Serie A
247,Manuel Lazzari,manuel-lazzari93,Lazio,20.9,Right-Back,Serie A
248,Rafael Leão,rafael-leao99,Milan,26.9,Left Winger,Serie A
249,Mehdi Léris,mehdi-leris98,Sampdoria,27.3,Right Midfield,Serie A
250,Karol Linetty,karol-linetty95,Torino,21.0,Central Midfield,Serie A
251,Diego Llorente,diego-llorente93,Roma,6.4,Centre-Back,Serie A
252,Stanislav Lobotka,stanislav-lobotka94,Napoli,34.5,Defensive Midfield,Serie A
253,Manuel Locatelli,manuel-locatelli98,Juventus,27.2,Defensive Midfield,Serie A
254,Luka Lochoshvili,luka-lochoshvili98,Cremonese,20.4,Centre-Back,Serie A
255,Ademola Lookman,ademola-lookman97,Atalanta,19.2,Second Striker,Serie A
256,Maxime Lopez,maxime-lopez97,Sassuolo,25.5,Defensive Midfield,Serie A
257,Matteo Lovato,matteo-lovato00,Salernitana,9.0,Centre-Back,Serie A
258,Sandi Lovrić,sandi-lovric98,Udinese,25.9,Central Midfield,Serie A
259,Hirving Lozano,hirving-lozano95,Napoli,17.8,Right Winger,Serie A
260,Jhon Lucumí,jhon-lucumi98,Bologna,32.2,Centre-Back,Serie A
261,José Luis Palomino,jose-luis-palomino90,Atalanta,8.4,Centre-Back,Serie A
262,Romelu Lukaku,romelu-lukaku93,Inter,18.4,Centre-Forward,Serie A
263,Sebastiano Luperto,sebastiano-luperto96,Empoli,34.8,Centre-Back,Serie A
264,Charalambos Lykogiannis,charalambos-lykogiannis93,Bologna,12.3,Left-Back,Serie A
265,Giulio Maggiore,giulio-maggiore98,Salernitana,9.9,Central Midfield,Serie A
266,Giangiacomo Magnani,giangiacomo-magnani95,Hellas Verona,17.0,Centre-Back,Serie A
267,Lorenzo Malagrida,lorenzo-malagrida03,Sampdoria,1.2,Left Midfield,Serie A
268,Daniel Maldini,daniel-maldini01,Spezia,7.0,Attacking Midfield,Serie A
269,Youssef Maleh,youssef-maleh98,Lecce,7.5,Central Midfield,Serie A
270,Gianluca Mancini,gianluca-mancini96,Roma,31.8,Centre-Back,Serie A
271,Rolando Mandragora,rolando-mandragora97,Fiorentina,21.7,Defensive Midfield,Serie A
272,Riccardo Marchizza,riccardo-marchizza98,Sassuolo,3.1,Left-Back,Serie A
273,Gian Marco Ferrari,gian-marco-ferrari92,Sassuolo,24.7,Centre-Back,Serie A
274,Pablo Marí,pablo-mari93,Monza,27.6,Centre-Back,Serie A
275,Răzvan Marin,razvan-marin96,Empoli,28.2,Central Midfield,Serie A
276,Marlon,marlon95,Monza,17.7,Centre-Back,Serie A
277,Luca Marrone,luca-marrone90,Monza,1.5,Centre-Back,Serie A
278,Lautaro Martínez,lautaro-martinez97,Inter,28.6,Centre-Forward,Serie A
279,Lucas Martínez Quarta,lucas-martinez-quarta96,Fiorentina,24.1,Centre-Back,Serie A
280,Adam Marušić,adam-marusic92,Lazio,30.7,Right-Back,Serie A
281,Adam Masina,adam-masina94,Udinese,8.8,Left-Back,Serie A
282,Nemanja Matić,nemanja-matic88,Roma,20.6,Defensive Midfield,Serie A
283,Pasquale Mazzocchi,pasquale-mazzocchi95,Salernitana,21.8,Right-Back,Serie A
284,Gary Medel,gary-medel87,Bologna,16.4,Defensive Midfield,Serie A
285,Soualiho Meïté,soualiho-meite94,Cremonese,26.3,Central Midfield,Serie A
286,Junior Messias,junior-messias91,Milan,16.6,Right Winger,Serie A
287,Nikola Milenković,nikola-milenkovic97,Fiorentina,23.7,Centre-Back,Serie A
288,Arkadiusz Milik,arkadiusz-milik94,Juventus,17.6,Centre-Forward,Serie A
289,Sergej Milinković-Savić,sergej-milinkovic-savic95,Lazio,33.6,Central Midfield,Serie A
290,Aleksei Miranchuk,aleksei-miranchuk95,Torino,23.2,Attacking Midfield,Serie A
291,Fabio Miretti,fabio-miretti03,Juventus,13.7,Central Midfield,Serie A
292,Henrikh Mkhitaryan,henrikh-mkhitaryan89,Inter,22.1,Attacking Midfield,Serie A
293,Daniele Montevago,daniele-montevago03,Sampdoria,2.6,Centre-Forward,Serie A
294,Nikola Moro,nikola-moro98,Bologna,13.6,Defensive Midfield,Serie A
295,Dany Mota,dany-mota98,Monza,21.2,Centre-Forward,Serie A
296,João Moutinho,joao-moutinho98,Spezia,0.6,Left-Back,Serie A
297,Mert Müldür,mert-muldur99,Sassuolo,0.1,Right-Back,Serie A
298,Luis Muriel,luis-muriel91,Atalanta,11.9,Centre-Forward,Serie A
299,Jeison Murillo,jeison-murillo92,Sampdoria,11.7,Centre-Back,Serie A
300,Nicola Murru,nicola-murru94,Sampdoria,8.7,Left-Back,Serie A
301,Joakim Mæhle,joakim-mahle97,Atalanta,24.5,Left-Back,Serie A
302,Michel Ndary Adopo,michel-ndary-adopo00,Torino,2.9,Central Midfield,Serie A
303,Tanguy Ndombele,tanguy-ndombele96,Napoli,9.0,Central Midfield,Serie A
304,Ilija Nestorovski,ilija-nestorovski90,Udinese,7.1,Centre-Forward,Serie A
305,Cyril Ngonge,cyril-ngonge00,Hellas Verona,8.3,Right Winger,Serie A
306,Hans Nicolussi Caviglia,hans-nicolussi-caviglia00,Salernitana,6.5,Central Midfield,Serie A
307,Dimitris Nikolaou,dimitris-nikolaou98,Spezia,32.9,Centre-Back,Serie A
308,Bram Nuytinck,bram-nuytinck90,Sampdoria,16.6,Centre-Back,Serie A
309,M'Bala Nzola,mbala-nzola96,Spezia,29.5,Centre-Forward,Serie A
310,Pedro Obiang,pedro-obiang92,Sassuolo,9.7,Central Midfield,Serie A
311,Marios Oikonomou,marios-oikonomou92,Sampdoria,2.4,Centre-Back,Serie A
312,David Okereke,david-okereke97,Cremonese,25.2,Centre-Forward,Serie A
313,Caleb Okoli,caleb-okoli01,Atalanta,10.7,Centre-Back,Serie A
314,Mathías Olivera,mathias-olivera97,Napoli,18.3,Left-Back,Serie A
315,Divock Origi,divock-origi95,Milan,11.4,Centre-Forward,Serie A
316,Riccardo Orsolini,riccardo-orsolini97,Bologna,23.6,Right Winger,Serie A
317,Victor Osimhen,victor-osimhen98,Napoli,28.5,Centre-Forward,Serie A
318,Remi Oudin,remi-oudin96,Lecce,14.7,Right Winger,Serie A
319,Simone Pafundi,simone-pafundi06,Udinese,0.9,Attacking Midfield,Serie A
320,Flavio Paoletti,flavio-paoletti03,Sampdoria,3.2,Defensive Midfield,Serie A
321,Leandro Paredes,leandro-paredes94,Juventus,10.9,Defensive Midfield,Serie A
322,Fabiano Parisi,fabiano-parisi00,Empoli,31.4,Left-Back,Serie A
323,Mario Pašalić,mario-pasalic95,Atalanta,19.7,Attacking Midfield,Serie A
324,Patric,patric93,Lazio,15.7,Centre-Back,Serie A
325,Pedro,pedro87,Lazio,21.1,Right Winger,Serie A
326,Pietro Pellegri,pietro-pellegri01,Torino,5.2,Centre-Forward,Serie A
